Round,Accuracy,F1,Precision,Recall,Loss,Comm_MB,Seed,Model
2,0.8888652824722356,0.8888626705082483,0.8889020822051052,0.8888653764378062,0.5784333875546088,0.52490234375,42,kan
3,0.9011298889425399,0.9010432480839576,0.9025411488017399,0.9011304607817479,0.44578183499666363,0.787353515625,42,kan
4,0.9103235152100435,0.9102702044133176,0.9113022220975779,0.9103239863308648,0.3225791488702481,1.0498046875,42,kan
5,0.9192274263640753,0.9192063115074709,0.9196669710158729,0.9192277389446182,0.24804102801359618,1.312255859375,42,kan
6,0.9293867696764848,0.9293840213532354,0.9294539536610027,0.9293868905163226,0.20866391349297303,1.57470703125,42,kan
7,0.9261999034282955,0.9261928539134205,0.9263633067842101,0.9262000925339535,0.18290219971766838,1.837158203125,42,kan
8,0.9270497344278127,0.927039406586252,0.9272922965402157,0.9270499645686017,0.1608641932790096,2.099609375,42,kan
9,0.9265861902462579,0.9265705345011183,0.9269510716853745,0.926586472613001,0.14244427933142736,2.362060546875,42,kan
10,0.9365717044905842,0.9365681605288769,0.9366696889983396,0.9365718492079034,0.124418537490643,2.62451171875,42,kan
11,0.9448189280540802,0.9448161098298424,0.9449101977757004,0.9448190664327318,0.11002421808930543,2.886962890625,42,kan
12,0.9564268469338484,0.9564268222104462,0.9564279243091127,0.9564268618393443,0.0965132346520057,3.1494140625,42,kan
13,0.9641912119748913,0.9641908394229184,0.9642103525974368,0.9641911500362682,0.08766556044037525,3.411865234375,42,kan
14,0.9681313375181072,0.9681309565971434,0.9681535288467881,0.9681312711044288,0.0817803697517285,3.67431640625,42,kan
15,0.9698309995171415,0.9698307693750292,0.9698451828928585,0.9698309465336725,0.07733379676938057,3.936767578125,42,kan
16,0.9714340898116852,0.9714338749357366,0.9714481223410716,0.9714340372018581,0.07318541206992589,4.19921875,42,kan
17,0.9730371801062289,0.9730370021835768,0.9730495231555076,0.9730371308543937,0.06968609401239799,4.461669921875,42,kan
18,0.9752197006277161,0.9752192851522947,0.9752513439709158,0.9752196219062377,0.06629231600807263,4.72412109375,42,kan
19,0.9778657653307581,0.9778647595695468,0.9779522536646865,0.9778656355032711,0.06342909012276393,4.986572265625,42,kan
20,0.9800289715113472,0.9800280847276712,0.9801138671829503,0.9800288431768421,0.06069133058190346,5.2490234375,42,kan
21,0.9799323998068565,0.9799319467682182,0.9799754742255163,0.9799323084036482,0.0590613279491663,5.511474609375,42,kan
22,0.9829840656687591,0.9829828809553186,0.9831181301019554,0.9829839048805489,0.05694180196867539,5.77392578125,42,kan
23,0.9834476098503139,0.9834468006447292,0.9835417660232435,0.9834474751753401,0.05576302526661983,6.036376953125,42,kan
24,0.9841815548044422,0.9841806755342957,0.9842888032529395,0.984181411176692,0.05366213705677252,6.298828125,42,kan
25,0.984625784645099,0.9846251255155825,0.984708532271671,0.9846256585505713,0.052569965043893226,6.561279296875,42,kan
26,0.9849154997585707,0.9849148719868929,0.9849958667501337,0.98491537552937,0.05124290502415253,6.82373046875,42,kan
27,0.9855528730082086,0.9855522681562778,0.9856338295716537,0.9855527484062019,0.049326784908771515,7.086181640625,42,kan
28,0.9860550458715597,0.9860545555636544,0.9861230754313355,0.9860549317149656,0.04805530034578764,7.3486328125,42,kan
29,0.9862675036214389,0.9862671133742498,0.9863224800103346,0.9862674010292809,0.046961999426667504,7.611083984375,42,kan
30,0.9865379043940126,0.9865375382838414,0.9865905391046665,0.986537804040218,0.04555264631142983,7.87353515625,42,kan
31,0.9870207629164655,0.9870204529887872,0.9870670060792519,0.987020668904595,0.044016097887204245,8.135986328125,42,kan
32,0.986943505552873,0.9869431583203102,0.9869950167143857,0.9869434063183611,0.041426026907104715,8.3984375,42,kan
33,0.9876967648478996,0.9876965662782868,0.987728022729077,0.9876966876232507,0.04030452453746246,8.660888671875,42,kan
34,0.9882761950748431,0.9882760470040169,0.9883006612350914,0.9882761268034607,0.038784739847939745,8.92333984375,42,kan
35,0.9882955094157412,0.9882953259196438,0.9883259061952223,0.988295433310447,0.0368967278359028,9.185791015625,42,kan
36,0.9889521970062771,0.9889521055082269,0.9889682315086223,0.9889521417916787,0.035730606446472496,9.4482421875,42,kan
37,0.9894929985514245,0.9894929353322774,0.989504639830672,0.9894929515439905,0.034228252103695504,9.710693359375,42,kan
38,0.9897054563013037,0.9897054341195946,0.9897095934940949,0.9897054283191811,0.034280477879712216,9.97314453125,42,kan
39,0.9900917431192661,0.9900917228787599,0.9900956664120508,0.9900917158833751,0.03209238986556347,10.235595703125,42,kan
40,0.9919652341863834,0.9919651248396905,0.9919918051694745,0.9919651633050708,0.03066960686387924,10.498046875,42,kan
41,0.9920811202317721,0.9920809706782063,0.9921180467112662,0.9920810366670147,0.028388908562751915,10.760498046875,42,kan
42,0.9922356349589571,0.992235515597398,0.9922656804178764,0.9922355596012202,0.027203561165011846,11.02294921875,42,kan
43,0.9925446644133269,0.9925444835635915,0.9925921777941559,0.9925445696574295,0.025897278235508844,11.285400390625,42,kan
44,0.9928536938676967,0.9928535466411679,0.9928940508494346,0.99285360657279,0.02450514384187185,11.5478515625,42,kan
45,0.9927957508450024,0.9927955691654058,0.9928451768195914,0.99279565422398,0.023648029336562522,11.810302734375,42,kan
46,0.9931627233220667,0.993162549567995,0.9932125685393325,0.9931626263281372,0.02324397940761768,12.07275390625,42,kan
47,0.9933751810719459,0.9933750315125109,0.9934194645592562,0.9933750896737523,0.022128423460974142,12.335205078125,42,kan
48,0.9936069531627233,0.9936068111729816,0.9936505377698717,0.9936068625107036,0.02155550171692784,12.59765625,42,kan
49,0.9935683244809271,0.9935681792818254,0.9936126253399133,0.9935682330828055,0.020546302915765688,12.860107421875,42,kan
50,0.9937807822308063,0.9937806406842397,0.9938254644001947,0.9937806904597203,0.019871103648956005,13.12255859375,42,kan
