Round,Accuracy,F1,Precision,Recall,Loss,Comm_MB,Seed,Model
1,0.9141091260260744,0.9140512100888294,0.9152296578397885,0.9141096277378965,0.5813871094813714,0.532379150390625,42,mlp
2,0.9274553355866731,0.9274553333946238,0.9274553784996149,0.9274553325752606,0.3644026621029927,1.06475830078125,42,mlp
3,0.9341380975374215,0.9341380796263445,0.9341385425768292,0.9341380878137143,0.23979733540461615,1.597137451171875,42,mlp
4,0.9356832448092709,0.9356828578244185,0.9356938610727448,0.9356832925348797,0.1877587569447664,2.1295166015625,42,mlp
5,0.9419024625784645,0.941902165896292,0.9419116103832752,0.9419025065759558,0.1611631724696893,2.661895751953125,42,mlp
6,0.9472911636890391,0.9472911063525357,0.9472930541100172,0.9472911438980569,0.14274202143916717,3.19427490234375,42,mlp
7,0.9492805408015451,0.94928007442393,0.9492969027503408,0.9492804825877973,0.1282604826757541,3.726654052734375,42,mlp
8,0.9522742636407533,0.9522725526353544,0.9523388036023259,0.9522741483524262,0.1176950793999892,4.259033203125,42,mlp
9,0.9589763399323998,0.9589713846184097,0.9591975802130404,0.958976128028238,0.1034777072759775,4.791412353515625,42,mlp
10,0.9609657170449059,0.9609587024439674,0.961296507791461,0.9609654585110156,0.09279207856609271,5.32379150390625,42,mlp
11,0.9672042491549976,0.9672025286232844,0.9673019054231449,0.9672041096243954,0.08547915203066972,5.856170654296875,42,mlp
12,0.9704683727667793,0.9704670991941244,0.9705491751511859,0.9704682462939266,0.07564868663366024,6.3885498046875,42,mlp
13,0.9730951231289232,0.9730939491455243,0.9731773384394065,0.9730949959109628,0.06704243659400023,6.920928955078125,42,mlp
14,0.977691936262675,0.977691040925166,0.9777682785632352,0.9776918142690422,0.06110922934917303,7.45330810546875,42,mlp
15,0.9827716079188797,0.9827700709644469,0.9829433926973188,0.9827714258670958,0.05473846655625563,7.985687255859375,42,mlp
16,0.9847030420086914,0.9847019017266684,0.9848471093999964,0.9847028756254661,0.050136311839406304,8.51806640625,42,mlp
17,0.9860550458715597,0.9860546350981647,0.9861120130710304,0.9860549414141035,0.047054196492983744,9.050445556640625,42,mlp
18,0.9869241912119749,0.9869237463175042,0.9869901350893235,0.9869240789209239,0.042814889206336096,9.58282470703125,42,mlp
19,0.9873684210526316,0.987368182496456,0.9874049930822337,0.9873683374861162,0.03966716913363108,10.115203857421875,42,mlp
20,0.9891839690970545,0.989183742458654,0.9892247119132027,0.9891838810546913,0.03714976029900404,10.6475830078125,42,mlp
21,0.9898406566875906,0.9898406048076627,0.9898505337657075,0.989840613410724,0.03627190466683645,11.179962158203125,42,mlp
22,0.9903428295509416,0.9903427217291021,0.9903645381386289,0.9903427653838115,0.033081946679605886,11.71234130859375,42,mlp
23,0.9925253500724288,0.9925250855469894,0.9925947377587443,0.9925252355452048,0.030839480388049897,12.244720458984375,42,mlp
24,0.9922935779816514,0.9922934311438997,0.9923308506819533,0.9922934940439295,0.0297395889289104,12.777099609375,42,mlp
25,0.993046837276678,0.9930467666588302,0.9930666852682752,0.9930467760949067,0.028400116958297215,13.309478759765625,42,mlp
26,0.992892322549493,0.9928922797835995,0.9929040450002754,0.9928922755433272,0.026635397440538958,13.84185791015625,42,mlp
27,0.9937421535490102,0.9937420041195938,0.9937890362154005,0.9937420595396471,0.0244612478149625,14.374237060546875,42,mlp
28,0.9941091260260744,0.994109087735648,0.9941218268280074,0.9941090771551436,0.0251903529637135,14.9066162109375,42,mlp
29,0.9949589570255915,0.994958898773632,0.9949816405982048,0.9949588917410521,0.024519339132194336,15.438995361328125,42,mlp
30,0.9949782713664896,0.9949782263594639,0.9949958447860978,0.9949782139158766,0.023638121568812773,15.97137451171875,42,mlp
31,0.9947851279575084,0.9947850812194432,0.9948026944973754,0.9947850705068233,0.023519865667017605,16.503753662109375,42,mlp
